line,property,value,px_literals,also_uses_space_token,source
407,gap,12px,12px,False,style-block
427,padding,var(--space-2) 22px var(--space-2) 21px,22px|21px,True,style-block
439,padding,3px,3px,False,style-block
474,gap,1px,1px,False,style-block
474,padding,4px,4px,False,style-block
482,padding,4px 7px,4px|7px,False,style-block
512,padding,2px 8px,2px|8px,False,style-block
513,padding,2px 8px,2px|8px,False,style-block
522,padding,3px 26px 3px 10px,3px|26px|3px|10px,False,style-block
523,padding,3px,3px,False,style-block
564,gap,6px,6px,False,style-block
781,gap,6px,6px,False,style-block
782,padding,1px 5px,1px|5px,False,style-block
791,gap,5px,5px,False,style-block
793,padding,7px 8px,7px|8px,False,style-block
795,gap,8px,8px,False,style-block
803,padding,0 12px 10px,12px|10px,False,style-block
803,gap,6px,6px,False,style-block
1042,margin,10px 0 4px,10px|4px,False,style-block
1044,padding,4px,4px,False,style-block
1046,gap,6px,6px,False,style-block
1048,padding,4px 6px,4px|6px,False,style-block
1063,padding,var(--space-2) 24px var(--space-2) var(--space-3),24px,True,style-block
1085,gap,10px,10px,False,style-block
1087,gap,6px,6px,False,style-block
1089,gap,12px,12px,False,style-block
1090,gap,6px,6px,False,style-block
1091,gap,6px,6px,False,style-block
1092,gap,10px,10px,False,style-block
1093,gap,10px,10px,False,style-block
1094,gap,4px,4px,False,style-block
1095,gap,6px,6px,False,style-block
1096,gap,6px,6px,False,style-block
1100,padding,2px 6px,2px|6px,False,style-block
1118,padding,2px 4px,2px|4px,False,style-block
1126,padding,2px 0,2px,False,style-block
1183,padding,3px 10px,3px|10px,False,style-block
1188,gap,8px,8px,False,style-block
1191,gap,5px,5px,False,style-block
1202,padding,3px var(--ctl-pad-x),3px,False,style-block
1215,padding,6px 10px 4px,6px|10px|4px,False,style-block
1215,gap,3px,3px,False,style-block
1216,gap,6px 18px,6px|18px,False,style-block
1229,padding,1px 3px,1px|3px,False,style-block
1229,margin,-1px 0 -1px -3px,1px|1px|3px,False,style-block
1235,padding,1px 6px,1px|6px,False,style-block
1239,gap,4px 18px,4px|18px,False,style-block
1240,gap,16px,16px,False,style-block
1243,gap,10px,10px,False,style-block
